Q50432966	0123-3734	0123-3734	2346-2175
Q50432967	0123-3769	0123-3769	2500-8684
Q50432968	0123-417X	0123-417X	2011-7485
Q50432969	0123-4366	0123-4366	2346-2442
Q50434685	0123-4870	0123-4870	0
Q50434688	0123-4986	0123-4986	2256-5493
Q50434691	0123-5095	0123-5095	2389-9441
Q50434693	0123-5923	0123-5923	0
Q50434694	0123-5931	0123-5931	2256-5450
Q50434696	0123-7799	0123-7799	2256-5337
Q50434699	0123-8418	0123-8418	2215-7484
Q50434700	0123-885X	0123-885X	1900-5180
Q50434703	0123-8884	0123-8884	0
Q50434705	0123-921X	0123-921X	2248-7638
Q50434708	0124-0137	0124-0137	0
Q50434709	0124-0579	0124-0579	2145-4531
Q50434710	0124-1494	0124-1494	2590-8200
Q50434714	0124-177X	0124-177X	0
Q50434717	0124-2059	0124-2059	2027-128X
Q50434718	0124-2121	0124-2121	0
Q50434720	0124-2253	0124-2253	2344-8350
Q50434721	0124-308X	0124-308X	0
Q50434722	0124-3551	0124-3551	2248-4914
Q50434723	0124-4035	0124-4035	2145-5112
Q50434724	0124-406X	0124-406X	2382-4921
Q50434725	0124-4108	0124-4108	2248-454X
Q50434726	0124-4639	0124-4639	2145-4558
Q50434728	0124-7107	0124-7107	2389-7066
Q50434731	0124-7255	0124-7255	2357-5891
Q50434733	0124-7492	0124-7492	0
Q50434768	0124-8170	0124-8170	1909-7735
Q50434767	0124-8693	0124-8693	2539-0554
Q50434766	0125-8273	0125-8273	2286-9433
Q15758027	0125-8281	0125-8281	0
Q50434765	0125-9008	0125-9008	2301-8593
Q50434764	0125-961X	0125-961X	0
Q50434761	0125-9695	0125-9695	2338-3453
Q50434759	0125-9717	0125-9717	2338-8358
Q50434758	0125-9849	0125-9849	2354-6638
Q50434756	0126-012X	0126-012X	2338-557X
Q50434755	0126-0235	0126-0235	2527-4406
Q50434754	0126-0650	0126-0650	2502-3837
Q50434753	0126-074X	0126-074X	2338-6223
Q50434751	0126-1568	0126-1568	0
Q50434749	0126-2092	0126-2092	2442-5230
Q50434748	0126-219X	0126-219X	0
Q50434746	0126-4214	0126-4214	2527-7162
Q50434744	0126-4400	0126-4400	2407-876X
Q50434743	0126-4451	0126-4451	2477-3751
Q50434741	0126-5008	0126-5008	0
Q50771591	0128-1852	0	0128-1852
Q50434740	0128-4878	0128-4878	2289-5639
Q50434739	0128-5157	0128-5157	0
Q50434738	0137-6861	0137-6861	2300-7559
Q50434736	0172-1941	0172-1941	2387-5372
Q50434735	0180-684X	0180-684X	2271-1465
Q50434864	0185-1616	0185-1616	2448-4903
Q50434863	0185-2574	0185-2574	0
Q50434860	0185-2760	0185-2760	2395-9037
Q50434858	0185-3082	0185-3082	0
Q50434857	0185-6286	0185-6286	2007-2392
Q50434855	0186-2391	0186-2391	2395-8235
Q50434853	0187-4519	0187-4519	0
Q50434852	0187-6961	0187-6961	0
Q50434851	0187-7372	0187-7372	0
Q50434850	0188-168X	0188-168X	0
Q50434849	0188-3380	0188-3380	2448-7481
Q50434832	0188-4557	0188-4557	2395-9169
Q50434830	0188-9834	0188-9834	0
Q16456679	0204-2061	0204-2061	0
Q50434829	0208-6018	0208-6018	0
Q48866118	0208-7375	0208-7375	0
Q9323565	0209-0872	0209-0872	2391-8497
Q50434827	0209-3324	0209-3324	2450-1549
Q50434826	0209-3693	0209-3693	2450-9442
Q50434825	0210-1696	0210-1696	2530-0350
Q50434822	0210-3729	0210-3729	2174-517X
Q50434821	0210-4911	0210-4911	1989-614X
Q50434820	0210-5853	0210-5853	2014-1246
Q50434818	0210-9778	0210-9778	1988-3307
Q50434815	0211-0784	0211-0784	2013-9136
Q50434813	0211-2175	0211-2175	2340-5236
Q50434812	0211-3473	0211-3473	2014-8410
Q50434811	0211-3481	0211-3481	2014-4520
Q50434809	0211-6820	0211-6820	1697-9540
Q50434807	0211-819X	0211-819X	2014-8801
Q50434806	0212-0267	0212-0267	0
Q50434805	0212-4068	0212-4068	1989-9106
Q50434804	0212-5056	0212-5056	2013-1453
Q50434803	0212-5374	0212-5374	2386-3900
Q50434802	0212-9728	0212-9728	0
Q50434800	0213-1781	0213-1781	1989-4627
Q50434799	0213-3458	0213-3458	1988-2432
Q50434797	0213-3563	0213-3563	0
Q50434796	0213-3865	0213-3865	0
Q15817196	0213-4691	0188-4611	2448-7279
Q50434794	0213-6554	0213-6554	2013-9527
Q50434792	0213-8646	0213-8646	2530-3791
Q50434791	0214-0071	0214-0071	2172-2862
Q50434788	0214-3402	0214-3402	0
Q50434787	0214-4824	0214-4824	2171-9098
Q50434785	0214-7564	0214-7564	2340-2792
Q50434783	0214-7823	0214-7823	1886-1415
Q50434781	0214-9141	0214-9141	2013-6455
Q50434780	0214-9745	0214-9745	2340-1362
Q50434779	0215-0212	0215-0212	2406-9574
Q50434777	0215-0883	0215-0883	0
Q50434776	0215-0905	0215-0905	0
Q50434774	0215-1677	0215-1677	2502-6313
Q50434773	0215-1790	0215-1790	2540-945X
Q50434946	0215-4994	0215-4994	2548-4583
Q50434945	0215-6253	0215-6253	0
Q50434944	0215-773X	0215-773X	0
Q50434943	0215-8175	0215-8175	2303-2499
Q50434942	0215-840X	0215-840X	2528-3103
Q50434941	0215-8884	0215-8884	2460-867X
Q50434939	0215-9643	0215-9643	2442-8655
Q50434938	0215-9945	0215-9945	0
Q50434935	0216-0455	0216-0455	2527-3825
Q50434934	0216-0749	0216-0749	2477-6939
Q50434932	0216-0897	0216-0897	2502-6267
Q50434930	0216-1370	0216-1370	2442-8620
Q50434929	0216-3098	0216-3098	0
Q50434927	0216-3241	0216-3241	2541-0652
Q50434925	0216-373X	0216-373X	2502-4078
Q50434923	0216-3780	0216-3780	2442-9732
Q50434922	0216-4701	0216-4701	0
Q50434919	0216-499X	0216-499X	2528-7079
Q50434918	0216-6143	0216-6143	2502-8340
Q50434915	0216-6461	0216-6461	2354-6832
Q50434914	0216-6631	0216-6631	2527-6964
Q50434913	0216-6747	0216-6747	0
Q50434910	0216-6887	0216-6887	0
Q50434909	0216-8138	0216-8138	2580-0183
Q50434906	0216-9142	0216-9142	2503-3514
Q50434905	0216-9517	0216-9517	2460-8505
Q50434903	0216-9843	0216-9843	2580-5614
Q50434902	0232-3869	0232-3869	2199-9244
Q50434900	0236-2910	0236-2910	2313-0636
Q50434899	0239-6858	0239-6858	2449-8998
Q50434897	0247-9788	0247-9788	2109-9421
Q50434896	0248-9430	0248-9430	0
Q50434894	0250-2836	0250-2836	0
Q50434892	0250-5150	0250-5150	0
Q50434891	0251-3420	0251-3420	2305-2546
Q50434889	0252-1865	0252-1865	2223-1757
Q50434887	0253-5645	0253-5645	1815-5901
Q50434886	0253-5777	0253-5777	2223-4861
Q50434884	0253-5785	0253-5785	2072-2001
Q50434883	0254-1106	0254-1106	2182-7435
Q50434882	0254-3486	0254-3486	2222-4173
Q15764760	0254-9212	0254-9212	0
Q50434879	0254-9247	0254-9247	2223-3733
Q50434878	0256-9507	0256-9507	2312-878X
Q50434876	0257-1439	0257-1439	1659-2913
Q50434874	0258-0802	0258-0802	1648-1143
Q50434873	0258-5200	0258-5200	2071-0763
Q50434872	0258-5960	0258-5960	1815-5936
Q50434871	0258-5995	0258-5995	2224-5421
Q50434869	0290-7402	0290-7402	2261-4184
Q50434867	0291-3798	0291-3798	2117-590X
Q50435031	0301-0406	0301-0406	1980-8178
Q50435030	0301-9187	0301-9187	2067-9033
Q50435029	0303-7657	0303-7657	2317-6369
Q50435027	0304-2847	0304-2847	0
Q50435026	0304-9809	0304-9809	2224-7157
Q50435025	0322-788X	0322-788X	1804-8765
Q50435023	0323-1046	0323-1046	0
Q50435021	0325-1217	0325-1217	1851-9628
Q50435020	0325-187X	0325-187X	1850-468X
Q50435018	0325-2221	0325-2221	1852-1479
Q50435017	0325-2787	0325-2787	1851-300X
Q50435015	0325-3465	0325-3465	2469-0643
Q50435013	0325-8718	0325-8718	1669-2314
Q50435012	0326-1735	0326-1735	2313-903X
Q50435010	0326-3428	0326-3428	2346-8548
Q50435009	0326-7237	0326-7237	1852-7744
Q50435008	0327-2818	0327-2818	1669-6859
Q50435005	0327-358X	0327-358X	1850-1168
Q50435003	0327-3776	0327-3776	1850-275X
Q50435001	0327-4934	0327-4934	2250-6950
Q50435000	0327-5108	0327-5108	1853-7960
Q50434998	0327-5159	0327-5159	1853-8126
Q50434997	0327-5752	0327-5752	1851-3751
Q5656999	0327-585X	0327-585X	2250-754X
Q50434996	0327-6627	0327-6627	2250-7671
Q50434995	0327-9286	0327-9286	1851-3743
Q50434994	0328-0543	0328-0543	1851-3026
Q50434992	0328-1205	0328-1205	1851-779X
Q50434990	0328-3445	0328-3445	1852-8562
Q50434988	0328-6223	0328-6223	2314-2553
Q50434987	0328-9206	0328-9206	1852-4524
Q50434986	0329-2142	0329-2142	1851-9814
Q50434983	0329-2665	0329-2665	1851-2879
Q50434982	0329-5885	0329-5885	1851-1686
Q50434980	0329-8213	0329-8213	2469-0732
Q50434978	0329-8922	0329-8922	1851-7587
Q50434977	0350-0241	0350-0241	2406-0739
Q50434975	0350-0330	0350-0330	0
Q50434974	0350-0373	0350-0373	2334-8526
Q50434971	0350-0608	0350-0608	2406-0747
Q50434968	0350-1361	0350-1361	2406-0755
Q50434966	0350-137X	0350-137X	2334-9190
Q50434962	0350-185X	0350-185X	2406-0763
Q50434961	0350-2457	0350-2457	2406-0771
Q50434960	0350-2465	0350-2465	1333-9095
Q50434958	0350-3593	0350-3593	2406-078X
Q50434956	0350-3828	0350-3828	2217-947X
Q50434955	0350-7599	0350-7599	1821-2808
Q50434954	0350-7653	0350-7653	2406-0801
Q25469379	0350-820X	0350-820X	1820-7413
Q50285260	0350-8501	0350-8501	2560-3116
Q50434952	0350-8528	0350-8528	2406-1212
Q50434951	0350-8773	0350-8773	2560-3310
Q50478462	0351-3114	0351-3114	1581-162X
Q50478463	0351-3386	0351-3386	2350-3696
Q50478465	0351-9465	0351-9465	2466-2585
Q50478468	0352-3462	0352-3462	2334-8453
Q50478471	0352-3608	0352-3608	1581-968X
Q50478472	0352-5317	0352-5317	1849-0840
Q50478475	0352-6852	0352-6852	2334-9573
Q50478477	0352-7379	0352-7379	2560-306X
Q50478481	0352-9630	0352-9630	2303-6141
Q50478662	0353-1589	0353-1589	2334-8801
Q50478559	0353-295X	0353-295X	1849-0344
Q50478558	0353-359X	0353-359X	1847-2206
Q25495619	0353-4529	0353-4529	1849-0409
Q50478485	0353-4537	0353-4537	2217-8600
Q50478488	0353-4707	0353-4707	1848-3828
Q50478490	0353-4790	0353-4790	1849-1383
Q50478554	0353-5320	0353-5320	1848-4069
Q50478552	0354-0243	0354-0243	1820-743X
Q50478549	0354-2025	0354-2025	2335-0164
Q50478548	0354-2904	0354-2904	2560-3337
Q50478547	0354-2955	0354-2955	0
Q50478545	0354-3099	0354-3099	2560-3361
Q50478544	0354-3293	0354-3293	2217-8082
Q50478541	0354-4699	0354-4699	2406-050X
Q50478540	0354-5881	0354-5881	2406-209X
Q50478539	0354-7132	0354-7132	2217-3994
Q50478538	0354-8996	0354-8996	2217-7965
Q50478537	0354-9542	0354-9542	2560-3140
Q50478535	0361-0934	0361-0934	2380-8829
Q50478533	0365-1118	0365-1118	0
Q50478528	0365-4478	0365-4478	1821-2794
Q50478531	0366-6913	0366-6913	1678-4553
Q50478660	0367-5211	0367-5211	1799-4632
Q50478659	0367-598X	0367-598X	2217-7426
Q50478527	0369-1527	0369-1527	2466-5525
Q50478523	0370-4661	0370-4661	1853-8665
Q50478522	0370-5404	0370-5404	1851-3018
Q50478520	0372-6827	0372-6827	2233-1360
Q50478518	0376-7892	0376-7892	1989-2055
Q50478517	0377-0699	0377-0699	2395-1486
Q50478516	0377-9424	0377-9424	2215-2202
Q50478514	0378-4878	0378-4878	2071-5072
Q50478512	0378-603X	0378-603X	0
Q50478510	0379-3982	0379-3982	2215-3241
Q50478506	0379-6175	0379-6175	2410-8219
Q50478505	0379-7082	0379-7082	2215-2644
Q50478502	0424-9674	0424-9674	2220-7112
Q50478501	0436-0265	0436-0265	2528-5874
Q50478500	0439-691X	0439-691X	2459-4849
Q50478497	0452-599X	0452-599X	1804-1213
Q50478495	0453-8307	0453-8307	2409-6792
Q50478658	0455-6224	0455-6224	2560-3965
Q50478655	0469-6255	0469-6255	1848-6320
Q50478665	0474-9588	0474-9588	1988-5172
Q50478653	0482-3206	0482-3206	2051-7580
Q50478651	0520-4062	0520-4062	2446-7251
Q50478645	0520-7371	0520-7371	0
Q50478644	0521-517X	0521-517X	0
Q50478641	0547-3330	0547-3330	2560-3051
Q50478639	0550-2179	0550-2179	2406-1255
Q50478638	0554-5579	0554-5579	1800-9492
Q50478636	0556-8080	0556-8080	2067-5127
Q27716432	0563-3745	0563-3745	1591-0725
Q50478635	0567-784X	0567-784X	2350-417X
Q50478634	0567-8269	0567-8269	2464-6830
Q50478633	0572-3043	0572-3043	1804-2112
Q50478632	0579-6431	0579-6431	1820-9270
Q50478627	0582-3226	0582-3226	0
Q16619689	0584-9888	0584-9888	2406-0917
Q50478625	0587-5455	0587-5455	1848-9303
Q50478622	0702-8865	0702-8865	1923-7081
Q50478620	0703-1580	0703-1580	0
Q50478619	0715-3570	0715-3570	1710-7377
Q50478617	0716-0240	0716-0240	0719-3769
Q50478614	0716-0267	0716-0267	0719-5249
Q50478613	0716-0542	0716-0542	0719-5443
Q50478611	0716-1077	0716-1077	0
Q50478609	0716-1557	0716-1557	0719-2789
Q50478607	0716-2138	0716-2138	0718-8471
Q50478605	0716-2677	0716-2677	0719-6466
Q50478601	0716-3991	0716-3991	0719-1529
Q50478599	0716-7415	0716-7415	0719-8027
Q50478597	0716-7520	0716-7520	0719-3262
Q50478595	0716-8640	0716-8640	0716-8640
Q27988671	0716-8772	0716-8772	0719-5427
Q50478592	0717-0297	0717-0297	0718-2228
Q50478590	0717-1846	0717-1846	0719-6318
Q50478588	0717-2877	0717-2877	0718-0012
Q50478586	0717-3997	0717-3997	0718-3607
Q50478582	0717-4659	0717-4659	0719-4692
Q50478581	0717-5051	0717-5051	0
